Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_5Plus,Booster_Doses_5Plus_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5to17Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_5to17Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Booster_Doses_Vax_Pct_SVI,Booster_Doses_12PlusVax_Pct_SVI,Booster_Doses_18PlusVax_Pct_SVI,Booster_Doses_65PlusVax_Pct_SVI,Booster_Doses_Vax_Pct_UR_Equity,Booster_Doses_12PlusVax_Pct_UR_Equity,Booster_Doses_18PlusVax_Pct_UR_Equity,Booster_Doses_65PlusVax_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
12/31/2021,28039,52,George County,MS,98.3,10725,43.8,10724,47.3,10691,53.2,10311,57.2,3266,91.3,9330,38.1,9330,41.2,,,9313,46.4,9008,50,3058,85.4,1741,18.7,,,,,1739,19.3,1573,27.6,1139,37.2,,,,,C,10,11,,11,12,12,Non-metro,6,7,,7,8,8,,,,,,,,,24500,22670,,20086,18022,3579,,,,,,,,
12/31/2021,21201,52,Robertson County,KY,94.1,832,39.5,832,41.7,822,45.2,780,46.5,265,57.2,777,36.9,777,38.9,,,775,42.6,738,44,258,55.7,335,43.1,,,,,335,45.4,267,57.7,165,64,,,,,B,6,6,,7,7,7,Non-metro,6,6,,7,7,7,,,,,,,,,2108,1996,,1820,1676,463,,,,,,,,
12/31/2021,05093,52,Mississippi County,AR,90.4,18501,45.5,18501,49.1,18254,54.2,17035,56.7,4820,78.8,15640,38.5,15640,41.5,,,15557,46.2,14604,48.6,4327,70.7,4269,27.3,,,,,4263,29.2,3580,40.7,2278,52.6,,,,,D,14,15,,15,15,16,Non-metro,6,7,,7,7,8,,,,,,,,,40651,37709,,33683,30043,6116,,,,,,,,
12/31/2021,31057,52,Dundy County,NE,90.3,660,39,660,40.8,656,43.9,641,46.2,307,69.3,593,35,593,36.7,,,589,39.4,581,41.9,288,65,139,23.4,,,,,139,23.9,125,28.5,88,30.6,,,,,B,6,6,,6,7,7,Non-metro,6,6,,6,7,7,,,,,,,,,1693,1618,,1496,1387,443,,,,,,,,
12/31/2021,17073,52,Henry County,IL,98,30383,62.1,30381,65.7,29538,70.3,27575,72.4,9398,92,27406,56,27406,59.3,,,26812,63.8,25005,65.6,8654,84.7,11564,42.2,,,,,11478,45.9,9047,57.7,5992,69.2,,,,,A,4,4,,4,4,4,Metro,4,4,,4,4,4,,,,,,,,,48913,46226,,42024,38104,10217,,,,,,,,
12/31/2021,13173,52,Lanier County,GA,59.8,1513,14.5,,0,,0,,0,,0,1338,12.8,1338,13.7,,,1325,15.2,1199,15.1,312,21.2,560,41.9,,,,,560,46.7,455,71.7,299,95,,,,,D,13,13,,13,13,13,Metro,1,1,,1,1,1,,,,,,,,,10423,9750,,8725,7929,1470,,,,,,,,
12/31/2021,31029,52,Chase County,NE,90.3,,0,,0,,0,,0,,0,1234,31.4,1234,33.6,,,1225,37.1,1171,39.7,405,48.6,537,43.5,,,,,536,45.8,467,60.6,345,85.2,,,,,A,2,2,,2,2,2,Non-metro,6,6,,6,6,6,,,,,,,,,3924,3672,,3303,2952,834,,,,,,,,
12/31/2021,18091,52,LaPorte County,IN,98.6,64980,59.1,64979,62.8,63848,67.7,60565,70,19031,93.7,58587,53.3,58586,56.6,,,58142,61.7,55382,64,17926,88.3,20905,35.7,,,,,20784,37.5,16617,47.6,10175,56.8,,,,,C,12,12,,12,12,12,Metro,4,4,,4,4,4,,,,,,,,,109888,103429,,94284,86579,20303,,,,,,,,
12/31/2021,08045,52,Garfield County,CO,97.3,40810,67.9,40806,72.9,39268,78.3,36029,79.9,7694,92.8,36896,61.4,36895,65.9,,,35758,71.3,32867,72.9,7218,87.1,14317,38.8,,,,,14215,43.3,9084,58.3,4904,67.9,,,,,B,8,8,,8,8,8,Non-metro,8,8,,8,8,8,,,,,,,,,60061,56004,,50126,45076,8288,,,,,,,,
12/31/2021,48409,52,San Patricio County,TX,99.1,41449,62.1,41440,66.8,40757,73.9,37509,76.3,9683,94.8,35152,52.7,35152,56.7,,,34795,63.1,32114,65.4,8593,84.2,9825,28,,,,,9784,30.5,7651,42.7,4425,51.5,,,,,D,16,16,,16,16,16,Metro,4,4,,4,4,4,,,,,,,,,66730,62038,,55166,49132,10209,,,,,,,,
12/31/2021,37197,52,Yadkin County,NC,97.2,22752,60.4,22748,63.7,22485,68.8,21524,72.1,7808,95,17758,47.1,17755,49.7,,,17618,53.9,16828,56.4,5935,77,3413,19.2,,,,,3399,20.2,2848,25.4,1886,31.8,,,,,C,11,11,,12,12,12,Metro,3,3,,4,4,4,,,,,,,,,37667,35700,,32660,29851,7711,,,,,,,,
12/31/2021,47123,52,Monroe County,TN,97.9,21399,46,21399,48.6,21291,52.8,20673,56.2,7931,79.5,19353,41.6,19353,43.9,,,19285,47.8,18744,50.9,7486,75,7078,36.6,,,,,7064,37.7,6224,47.2,4363,58.3,,,,,C,11,11,,11,12,12,Non-metro,7,7,,7,8,8,,,,,,,,,46545,44075,,40326,36799,9979,,,,,,,,
12/31/2021,48179,52,Gray County,TX,99.1,11330,51.8,11330,55.4,11251,61.8,10668,65.3,3293,93.3,9932,45.4,9932,48.6,,,9906,54.4,9435,57.7,3031,85.8,2598,26.2,,,,,2593,27.5,2060,35.8,1395,46,,,,,D,15,15,,16,16,16,Non-metro,7,7,,8,8,8,,,,,,,,,21886,20443,,18211,16344,3531,,,,,,,,
12/31/2021,13201,52,Miller County,GA,59.8,1537,26.9,,0,,0,,0,,0,1431,25,1431,26.6,,,1417,29,1286,29.2,247,19.2,874,61.1,,,,,872,67.8,717,95,459,95,,,,,D,13,13,,13,13,13,Non-metro,5,5,,5,5,5,,,,,,,,,5718,5389,,4886,4410,1287,,,,,,,,
12/31/2021,47021,52,Cheatham County,TN,97.9,21910,53.9,21908,57.1,21618,61.6,20486,64.4,5681,89.9,19652,48.3,19650,51.2,,,19461,55.5,18476,58.1,5325,84.3,7129,36.3,,,,,7099,38.4,5429,48.9,3251,61.1,,,,,A,3,4,,4,4,4,Metro,3,4,,4,4,4,,,,,,,,,40667,38385,,35078,31791,6318,,,,,,,,
12/31/2021,16013,52,Blaine County,ID,97.6,18416,80,,,,,18397,95,5402,95,16257,70.6,,,,,,,16250,89.5,4832,95,7615,46.8,,,,,7615,46.9,5674,59.6,3361,69.6,,,,,B,8,,,,8,8,Non-metro,8,,,,8,8,,,,,,,,,23021,21922,,20109,18163,4683,,,,,,,,
12/31/2021,23021,52,Piscataquis County,ME,96.5,10853,64.7,10852,67.5,10692,71,10184,72.9,4043,88,9957,59.3,9956,61.9,,,9864,65.5,9390,67.2,3758,81.8,4422,44.4,,,,,4409,47,3774,56.9,2460,65.5,,,,,B,8,8,,8,8,8,Non-metro,8,8,,8,8,8,,,,,,,,,16785,16075,,15061,13973,4594,,,,,,,,
12/31/2021,48457,52,Tyler County,TX,99.1,8431,38.9,8427,40.9,8387,44.2,8153,46.6,3085,63,7449,34.4,7449,36.1,,,7428,39.2,7244,41.4,2825,57.7,2334,31.3,,,,,2333,32.2,2097,42.7,1488,52.7,,,,,D,14,14,,14,15,15,Non-metro,6,6,,6,7,7,,,,,,,,,21672,20617,,18962,17499,4895,,,,,,,,
12/31/2021,35029,52,Luna County,NM,97.2,19302,81.4,19302,88,18754,95,17205,95,5313,95,16234,68.5,16234,74,,,15953,81.8,14687,83.7,4657,92.5,5824,35.9,,,,,5799,39.5,4327,50.8,2635,56.6,,,,,D,16,16,,16,16,16,Non-metro,8,8,,8,8,8,,,,,,,,,23709,21930,,19499,17550,5032,,,,,,,,
12/31/2021,13137,52,Habersham County,GA,59.8,10350,22.8,,0,,0,,0,,0,9963,22,9962,23.3,,,9859,25.4,9169,26,2694,31.7,4803,48.2,,,,,4783,52.2,3857,74.9,2594,95,,,,,C,9,9,,9,9,10,Non-metro,5,5,,5,5,6,,,,,,,,,45328,42705,,38805,35229,8500,,,,,,,,
12/31/2021,45033,52,Dillon County,SC,93.9,15193,49.8,15192,53.3,15064,59.1,14351,63,4610,88.2,13014,42.7,13014,45.7,,,12951,50.8,12336,54.2,4078,78,3586,27.6,,,,,3579,29,3092,38.6,2058,50.5,,,,,D,15,15,,16,16,16,Non-metro,7,7,,8,8,8,,,,,,,,,30479,28496,,25491,22777,5228,,,,,,,,
12/31/2021,28157,52,Wilkinson County,MS,98.3,6081,70.5,6080,74.4,5943,79.5,5511,80.6,1626,95,5262,61,5261,64.4,,,5224,69.9,4878,71.4,1478,95,1460,27.7,,,,,1458,29.9,1232,40.2,739,50,,,,,D,16,16,,16,16,16,Non-metro,8,8,,8,8,8,,,,,,,,,8630,8175,,7472,6836,1536,,,,,,,,
12/31/2021,46075,52,Jones County,SD,96.7,804,89,804,94.8,781,95,720,95,285,95,613,67.9,613,72.3,,,603,78.7,560,79.1,230,95,159,25.9,,,,,158,28.2,139,37,99,43,,,,,A,4,4,,4,4,4,Non-metro,8,8,,8,8,8,,,,,,,,,903,848,,766,708,215,,,,,,,,
12/31/2021,47171,52,Unicoi County,TN,97.9,10445,58.4,10444,61.2,10349,65.5,9910,68,3641,87.4,9293,52,9293,54.4,,,9243,58.5,8900,61.1,3405,81.8,3493,37.6,,,,,3478,39.1,2951,49.4,1966,57.7,,,,,D,16,16,,16,16,16,Metro,4,4,,4,4,4,,,,,,,,,17883,17070,,15799,14568,4164,,,,,,,,
12/31/2021,19043,52,Clayton County,IA,97.4,8819,50.3,8819,53.1,8712,57.5,8434,60.9,3580,83.8,8144,46.4,8144,49.1,,,8060,53.2,7825,56.5,3356,78.5,3470,42.6,,,,,3465,44.3,2897,50.8,1939,57.8,,,,,A,3,3,,4,4,4,Non-metro,7,7,,8,8,8,,,,,,,,,17549,16602,,15146,13842,4274,,,,,,,,
12/31/2021,56035,52,Sublette County,WY,96.5,4039,41.1,4039,43.4,3969,47.1,3788,49.4,1317,65.3,3254,33.1,3254,35,,,3212,38.1,3083,40.2,1123,55.7,1313,40.4,,,,,1306,42.4,1029,52,692,61.6,,,,,A,2,2,,2,3,3,Non-metro,6,6,,6,7,7,,,,,,,,,9831,9306,,8428,7662,2017,,,,,,,,
12/31/2021,16069,52,Nez Perce County,ID,97.6,24156,59.8,,,,,23651,74.4,9141,95,20386,50.5,,,,,,,19981,62.9,7637,93.5,6282,30.8,,,,,6280,31.4,5159,40.1,3617,47.4,,,,,C,12,,,,12,12,Metro,4,,,,4,4,,,,,,,,,40408,38072,,34679,31776,8168,,,,,,,,
12/31/2021,48333,52,Mills County,TX,99.1,2381,48.9,2380,51,2364,54.9,2262,58.3,1080,76.3,2056,42.2,2056,44.1,,,2049,47.6,1971,50.8,966,68.2,761,37,,,,,761,38.6,682,46.6,531,55,,,,,D,15,15,,15,16,15,Non-metro,7,7,,7,8,7,,,,,,,,,4873,4667,,4306,3878,1416,,,,,,,,
12/31/2021,31111,52,Lincoln County,NE,90.3,,0,,0,,0,,0,,0,10890,31.2,10890,33.2,,,10745,36.2,10134,37.9,3627,51.7,5741,52.7,,,,,5735,56.6,4669,72.5,3224,88.9,,,,,B,6,6,,6,6,7,Non-metro,6,6,,6,6,7,,,,,,,,,34914,32818,,29675,26756,7012,,,,,,,,
